[17:53:29.09] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[17:53:29.76] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[17:53:29.76] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[17:53:32.98] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[17:53:32.99] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[17:53:33.00] [IntForce] <INFO> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[17:53:33.02] [ComponentService] <INFO> 正在加载： vx-basic-demo.vue文件 (ComponentService.plugin.js:54)
[17:53:33.10] [ComponentService] <INFO> 正在加载： vb-bd-cloumn.vue文件 (ComponentService.plugin.js:54)
[17:53:33.11] [ComponentService] <INFO> 正在加载： vb-bd-online.vue文件 (ComponentService.plugin.js:54)
[17:53:33.12] [ComponentService] <INFO> 正在加载： vb-bd-onlineuser.vue文件 (ComponentService.plugin.js:54)
[17:53:33.12] [ComponentService] <INFO> 正在加载： vb-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:54)
[17:53:33.13] [ComponentService] <INFO> 正在加载： vb-bd-physicalunlinkeddevice.vue文件 (ComponentService.plugin.js:54)
[17:53:33.13] [ComponentService] <INFO> 正在加载： vb-bd-report.vue文件 (ComponentService.plugin.js:54)
[17:53:33.14] [ComponentService] <INFO> 正在加载： vb-bd-table.vue文件 (ComponentService.plugin.js:54)
[17:53:39.79] [ServiceLoader] <INFO> 注册服务ComponentService 成功！ (ServiceLoader.js:69)
[17:53:39.79] [ServiceLoader] <INFO> 注册服务PageService 成功！ (ServiceLoader.js:69)
[18:00:54.86] [PluginLoader] <INFO> destroy ComponentService (PluginLoader.js:193)
[18:00:54.92] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[18:00:54.93] [ComponentService] <INFO> 正在加载： vx-basic-demo.vue文件 (ComponentService.plugin.js:54)
[18:00:54.95] [ComponentService] <INFO> 正在加载： vb-bd-cloumn.vue文件 (ComponentService.plugin.js:54)
[18:00:54.95] [ComponentService] <INFO> 正在加载： vb-bd-online.vue文件 (ComponentService.plugin.js:54)
[18:00:54.95] [ComponentService] <INFO> 正在加载： vb-bd-onlineuser.vue文件 (ComponentService.plugin.js:54)
[18:00:54.96] [ComponentService] <INFO> 正在加载： vb-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:00:54.97] [ComponentService] <INFO> 正在加载： vb-bd-physicalunlinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:00:54.97] [ComponentService] <INFO> 正在加载： vb-bd-report.vue文件 (ComponentService.plugin.js:54)
[18:00:54.97] [ComponentService] <INFO> 正在加载： vb-bd-table.vue文件 (ComponentService.plugin.js:54)
[18:00:59.86] [PluginLoader] <INFO> destroy ComponentService (PluginLoader.js:193)
[18:00:59.87] [ServiceLoader] <INFO> 注册服务ComponentService 成功！ (ServiceLoader.js:69)
[18:00:59.92] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[18:00:59.92] [ComponentService] <INFO> 正在加载： vx-basic-demo.vue文件 (ComponentService.plugin.js:54)
[18:00:59.93] [ComponentService] <INFO> 正在加载： vb-bd-cloumn.vue文件 (ComponentService.plugin.js:54)
[18:00:59.94] [ComponentService] <INFO> 正在加载： vb-bd-online.vue文件 (ComponentService.plugin.js:54)
[18:00:59.95] [ComponentService] <INFO> 正在加载： vb-bd-onlineuser.vue文件 (ComponentService.plugin.js:54)
[18:00:59.95] [ComponentService] <INFO> 正在加载： vb-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:00:59.96] [ComponentService] <INFO> 正在加载： vb-bd-physicalunlinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:00:59.97] [ComponentService] <INFO> 正在加载： vb-bd-report.vue文件 (ComponentService.plugin.js:54)
[18:00:59.97] [ComponentService] <INFO> 正在加载： vb-bd-table.vue文件 (ComponentService.plugin.js:54)
[18:01:04.86] [PluginLoader] <INFO> destroy ComponentService (PluginLoader.js:193)
[18:01:04.92] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[18:01:04.92] [ComponentService] <INFO> 正在加载： vx-basic-demo.vue文件 (ComponentService.plugin.js:54)
[18:01:04.93] [ComponentService] <INFO> 正在加载： vb-bd-cloumn.vue文件 (ComponentService.plugin.js:54)
[18:01:04.93] [ComponentService] <INFO> 正在加载： vb-bd-online.vue文件 (ComponentService.plugin.js:54)
[18:01:04.94] [ComponentService] <INFO> 正在加载： vb-bd-onlineuser.vue文件 (ComponentService.plugin.js:54)
[18:01:04.94] [ComponentService] <INFO> 正在加载： vb-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:01:04.95] [ComponentService] <INFO> 正在加载： vb-bd-physicalunlinkeddevice.vue文件 (ComponentService.plugin.js:54)
[18:01:04.95] [ComponentService] <INFO> 正在加载： vb-bd-report.vue文件 (ComponentService.plugin.js:54)
[18:01:04.95] [ComponentService] <INFO> 正在加载： vb-bd-table.vue文件 (ComponentService.plugin.js:54)
[18:01:09.88] [ServiceLoader] <INFO> 注册服务ComponentService 成功！ (ServiceLoader.js:69)
