[14:24:01.00] [ConfigLoader] <INFO> init ConfigLoader (ConfigLoader.js:13)
[14:24:02.38] [ServiceLoader] <INFO> init ServiceLoader (ServiceLoader.js:27)
[14:24:02.42] [PluginLoader] <INFO> init PluginLoader (PluginLoader.js:18)
[14:24:04.37] [PluginLoader] <INFO> init ComponentService (PluginLoader.js:201)
[14:24:06.53] [PluginLoader] <INFO> init PageService (PluginLoader.js:201)
[14:24:06.54] [IntForce] <LOG> 启动组件开发测试环境，端口号：8160 (intforce.js:22)
[14:24:06.57] [ComponentService] <INFO> 正在注册： vb-cascader-city.vue文件 (ComponentService.plugin.js:249)
[14:24:06.58] [ComponentService] <INFO> 正在注册： vb-form-activity.vue文件 (ComponentService.plugin.js:249)
[14:24:06.59] [ComponentService] <INFO> 正在注册： vb-form-businesstime.vue文件 (ComponentService.plugin.js:249)
[14:24:06.60] [ComponentService] <INFO> 正在注册： vb-form-businesstimeplugin.vue文件 (ComponentService.plugin.js:249)
[14:24:06.61] [ComponentService] <INFO> 正在注册： vb-form-chartoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.62] [ComponentService] <INFO> 正在注册： vb-form-chartstyle.vue文件 (ComponentService.plugin.js:249)
[14:24:06.62] [ComponentService] <INFO> 正在注册： vb-form-company.vue文件 (ComponentService.plugin.js:249)
[14:24:06.63] [ComponentService] <INFO> 正在注册： vb-form-conditionoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.64] [ComponentService] <INFO> 正在注册： vb-form-fencezone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.64] [ComponentService] <INFO> 正在注册： vb-form-holiday.vue文件 (ComponentService.plugin.js:249)
[14:24:06.65] [ComponentService] <INFO> 正在注册： vb-form-indexoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.66] [ComponentService] <INFO> 正在注册： vb-form-location.vue文件 (ComponentService.plugin.js:249)
[14:24:06.66] [ComponentService] <INFO> 正在注册： vb-form-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.67] [ComponentService] <INFO> 正在注册： vb-form-physicalzone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.68] [ComponentService] <INFO> 正在注册： vb-form-reportmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:06.68] [ComponentService] <INFO> 正在注册： vb-form-reportpage.vue文件 (ComponentService.plugin.js:249)
[14:24:06.69] [ComponentService] <INFO> 正在注册： vb-form-tag.vue文件 (ComponentService.plugin.js:249)
[14:24:06.69] [ComponentService] <INFO> 正在注册： vb-form-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.70] [ComponentService] <INFO> 正在注册： vb-form-weather.vue文件 (ComponentService.plugin.js:249)
[14:24:06.70] [ComponentService] <INFO> 正在注册： vb-grid-activity.vue文件 (ComponentService.plugin.js:249)
[14:24:06.71] [ComponentService] <INFO> 正在注册： vb-grid-businesstime.vue文件 (ComponentService.plugin.js:249)
[14:24:06.72] [ComponentService] <INFO> 正在注册： vb-grid-chartoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.72] [ComponentService] <INFO> 正在注册： vb-grid-chartstyle.vue文件 (ComponentService.plugin.js:249)
[14:24:06.73] [ComponentService] <INFO> 正在注册： vb-grid-company.vue文件 (ComponentService.plugin.js:249)
[14:24:06.73] [ComponentService] <INFO> 正在注册： vb-grid-conditionoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.74] [ComponentService] <INFO> 正在注册： vb-grid-fencezone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.75] [ComponentService] <INFO> 正在注册： vb-grid-holiday.vue文件 (ComponentService.plugin.js:249)
[14:24:06.75] [ComponentService] <INFO> 正在注册： vb-grid-indexoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.76] [ComponentService] <INFO> 正在注册： vb-grid-location.vue文件 (ComponentService.plugin.js:249)
[14:24:06.76] [ComponentService] <INFO> 正在注册： vb-grid-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.77] [ComponentService] <INFO> 正在注册： vb-grid-physicalzone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.77] [ComponentService] <INFO> 正在注册： vb-grid-reportmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:06.78] [ComponentService] <INFO> 正在注册： vb-grid-reportpage.vue文件 (ComponentService.plugin.js:249)
[14:24:06.79] [ComponentService] <INFO> 正在注册： vb-grid-role.vue文件 (ComponentService.plugin.js:249)
[14:24:06.79] [ComponentService] <INFO> 正在注册： vb-grid-tag.vue文件 (ComponentService.plugin.js:249)
[14:24:06.80] [ComponentService] <INFO> 正在注册： vb-grid-user.vue文件 (ComponentService.plugin.js:249)
[14:24:06.80] [ComponentService] <INFO> 正在注册： vb-grid-weather.vue文件 (ComponentService.plugin.js:249)
[14:24:06.81] [ComponentService] <INFO> 正在注册： vb-log-malllog.vue文件 (ComponentService.plugin.js:249)
[14:24:06.81] [ComponentService] <INFO> 正在注册： vb-log-mallupdate.vue文件 (ComponentService.plugin.js:249)
[14:24:06.82] [ComponentService] <INFO> 正在注册： vb-log-zonelog.vue文件 (ComponentService.plugin.js:249)
[14:24:06.82] [ComponentService] <INFO> 正在注册： vb-log-zoneupdate.vue文件 (ComponentService.plugin.js:249)
[14:24:06.83] [ComponentService] <INFO> 正在注册： vb-page-activity.vue文件 (ComponentService.plugin.js:249)
[14:24:06.83] [ComponentService] <INFO> 正在注册： vb-page-businesstime.vue文件 (ComponentService.plugin.js:249)
[14:24:06.84] [ComponentService] <INFO> 正在注册： vb-page-chartoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.84] [ComponentService] <INFO> 正在注册： vb-page-chartstyle.vue文件 (ComponentService.plugin.js:249)
[14:24:06.85] [ComponentService] <INFO> 正在注册： vb-page-company.vue文件 (ComponentService.plugin.js:249)
[14:24:06.86] [ComponentService] <INFO> 正在注册： vb-page-conditionoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.86] [ComponentService] <INFO> 正在注册： vb-page-holiday.vue文件 (ComponentService.plugin.js:249)
[14:24:06.87] [ComponentService] <INFO> 正在注册： vb-page-indexoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.87] [ComponentService] <INFO> 正在注册： vb-page-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.88] [ComponentService] <INFO> 正在注册： vb-page-reportmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:06.88] [ComponentService] <INFO> 正在注册： vb-page-reportpage.vue文件 (ComponentService.plugin.js:249)
[14:24:06.89] [ComponentService] <INFO> 正在注册： vb-page-tag.vue文件 (ComponentService.plugin.js:249)
[14:24:06.89] [ComponentService] <INFO> 正在注册： vb-page-weather.vue文件 (ComponentService.plugin.js:249)
[14:24:06.90] [ComponentService] <INFO> 正在注册： vb-select-chartoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.90] [ComponentService] <INFO> 正在注册： vb-select-chartstyle.vue文件 (ComponentService.plugin.js:249)
[14:24:06.91] [ComponentService] <INFO> 正在注册： vb-select-company.vue文件 (ComponentService.plugin.js:249)
[14:24:06.91] [ComponentService] <INFO> 正在注册： vb-select-device.vue文件 (ComponentService.plugin.js:249)
[14:24:06.92] [ComponentService] <INFO> 正在注册： vb-select-fencezone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.92] [ComponentService] <INFO> 正在注册： vb-select-indexoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.93] [ComponentService] <INFO> 正在注册： vb-select-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.93] [ComponentService] <INFO> 正在注册： vb-select-menutype.vue文件 (ComponentService.plugin.js:249)
[14:24:06.94] [ComponentService] <INFO> 正在注册： vb-select-physicalzone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.94] [ComponentService] <INFO> 正在注册： vb-select-reportmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:06.95] [ComponentService] <INFO> 正在注册： vb-select-role.vue文件 (ComponentService.plugin.js:249)
[14:24:06.95] [ComponentService] <INFO> 正在注册： vb-select-usergroup.vue文件 (ComponentService.plugin.js:249)
[14:24:06.96] [ComponentService] <INFO> 正在注册： vb-select-zonetype.vue文件 (ComponentService.plugin.js:249)
[14:24:06.96] [ComponentService] <INFO> 正在注册： vb-transfer-chartoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.97] [ComponentService] <INFO> 正在注册： vb-transfer-conditionoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.98] [ComponentService] <INFO> 正在注册： vb-transfer-indexoption.vue文件 (ComponentService.plugin.js:249)
[14:24:06.98] [ComponentService] <INFO> 正在注册： vb-transfer-location.vue文件 (ComponentService.plugin.js:249)
[14:24:06.99] [ComponentService] <INFO> 正在注册： vb-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:06.99] [ComponentService] <INFO> 正在注册： vb-transfer-physicalzone.vue文件 (ComponentService.plugin.js:249)
[14:24:06.100] [ComponentService] <INFO> 正在注册： vb-transfer-reportpage.vue文件 (ComponentService.plugin.js:249)
[14:24:07.00] [ComponentService] <INFO> 正在注册： vb-transfer-tag.vue文件 (ComponentService.plugin.js:249)
[14:24:07.01] [ComponentService] <INFO> 正在注册： vb-tree-category.vue文件 (ComponentService.plugin.js:249)
[14:24:07.01] [ComponentService] <INFO> 正在注册： vb-tree-location.vue文件 (ComponentService.plugin.js:249)
[14:24:07.02] [ComponentService] <INFO> 正在注册： vb-zonecamera-query.vue文件 (ComponentService.plugin.js:249)
[14:24:07.02] [ComponentService] <INFO> 正在注册： vd-bd-devicezone.vue文件 (ComponentService.plugin.js:249)
[14:24:07.03] [ComponentService] <INFO> 正在注册： vd-bd-fencezone.vue文件 (ComponentService.plugin.js:249)
[14:24:07.04] [ComponentService] <INFO> 正在注册： vd-bd-grid.vue文件 (ComponentService.plugin.js:249)
[14:24:07.04] [ComponentService] <INFO> 正在注册： vd-bd-loaddata.vue文件 (ComponentService.plugin.js:249)
[14:24:07.05] [ComponentService] <INFO> 正在注册： vd-bd-physicallinkeddevice.vue文件 (ComponentService.plugin.js:249)
[14:24:07.05] [ComponentService] <INFO> 正在注册： vd-bd-savedata.vue文件 (ComponentService.plugin.js:249)
[14:24:07.10] [ComponentService] <INFO> 正在注册： vx-basic-demo.vue文件 (ComponentService.plugin.js:249)
[14:24:07.13] [ComponentService] <INFO> 正在注册： vm-form-location.vue文件 (ComponentService.plugin.js:249)
[14:24:07.13] [ComponentService] <INFO> 正在注册： vm-grid-location.vue文件 (ComponentService.plugin.js:249)
[14:24:07.14] [ComponentService] <INFO> 正在注册： vm-select-company.vue文件 (ComponentService.plugin.js:249)
[14:24:07.15] [ComponentService] <INFO> 正在注册： vm-select-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:07.15] [ComponentService] <INFO> 正在注册： vm-transfer-mall.vue文件 (ComponentService.plugin.js:249)
[14:24:07.16] [ComponentService] <INFO> 正在注册： vm-transfer-physicalzone.vue文件 (ComponentService.plugin.js:249)
[14:24:07.16] [ComponentService] <INFO> 正在注册： vm-transfer-reportpage.vue文件 (ComponentService.plugin.js:249)
[14:24:07.17] [ComponentService] <INFO> 正在注册： vm-tree-location.vue文件 (ComponentService.plugin.js:249)
[14:24:07.18] [ComponentService] <INFO> 正在注册： vp-footer-default.vue文件 (ComponentService.plugin.js:249)
[14:24:07.20] [ComponentService] <INFO> 正在注册： vp-header-default.vue文件 (ComponentService.plugin.js:249)
[14:24:07.22] [ComponentService] <INFO> 正在注册： vp-header-filer.vue文件 (ComponentService.plugin.js:249)
[14:24:07.25] [ComponentService] <INFO> 正在注册： vp-header-nav.vue文件 (ComponentService.plugin.js:249)
[14:24:07.26] [ComponentService] <INFO> 正在注册： vp-main-home-default.vue文件 (ComponentService.plugin.js:249)
[14:24:07.26] [ComponentService] <INFO> 正在注册： vp-main-report-default.vue文件 (ComponentService.plugin.js:249)
[14:24:07.28] [ComponentService] <INFO> 正在注册： vp-nav-homeicon.vue文件 (ComponentService.plugin.js:249)
[14:24:07.28] [ComponentService] <INFO> 正在注册： vp-page-grid.vue文件 (ComponentService.plugin.js:249)
[14:24:07.29] [ComponentService] <INFO> 正在注册： vp-widget-flowdistribution.vue文件 (ComponentService.plugin.js:249)
[14:24:07.30] [ComponentService] <INFO> 正在注册： vp-widget-flowtime.vue文件 (ComponentService.plugin.js:249)
[14:24:07.30] [ComponentService] <INFO> 正在注册： vp-widget-home-chart.vue文件 (ComponentService.plugin.js:249)
[14:24:07.31] [ComponentService] <INFO> 正在注册： vp-widget-home-data.vue文件 (ComponentService.plugin.js:249)
[14:24:07.33] [ComponentService] <INFO> 正在注册： vp-widget-home-ranking.vue文件 (ComponentService.plugin.js:249)
[14:24:07.36] [ComponentService] <INFO> 正在注册： vp-widget-report-compare.vue文件 (ComponentService.plugin.js:249)
[14:24:07.38] [ComponentService] <INFO> 正在注册： vp-widget-time-selection.vue文件 (ComponentService.plugin.js:249)
[14:24:07.41] [ComponentService] <INFO> 正在注册： vm-layout-page.vue文件 (ComponentService.plugin.js:249)
[14:24:07.41] [ComponentService] <INFO> 正在注册： vx-basic-button.vue文件 (ComponentService.plugin.js:249)
[14:24:07.42] [ComponentService] <INFO> 正在注册： vx-basic-tree.vue文件 (ComponentService.plugin.js:249)
[14:24:07.42] [ComponentService] <INFO> 正在注册： vx-container-col.vue文件 (ComponentService.plugin.js:249)
[14:24:07.43] [ComponentService] <INFO> 正在注册： vx-container-combo.vue文件 (ComponentService.plugin.js:249)
[14:24:07.44] [ComponentService] <INFO> 正在注册： vx-container-dialog.vue文件 (ComponentService.plugin.js:249)
[14:24:07.44] [ComponentService] <INFO> 正在注册： vx-container-gridster.vue文件 (ComponentService.plugin.js:249)
[14:24:07.45] [ComponentService] <INFO> 正在注册： vx-container-item.vue文件 (ComponentService.plugin.js:249)
[14:24:07.45] [ComponentService] <INFO> 正在注册： vx-container-row.vue文件 (ComponentService.plugin.js:249)
[14:24:07.46] [ComponentService] <INFO> 正在注册： vx-container-tab.vue文件 (ComponentService.plugin.js:249)
[14:24:07.46] [ComponentService] <INFO> 正在注册： vx-form-cascader.vue文件 (ComponentService.plugin.js:249)
[14:24:07.47] [ComponentService] <INFO> 正在注册： vx-form-check.vue文件 (ComponentService.plugin.js:249)
[14:24:07.48] [ComponentService] <INFO> 正在注册： vx-form-clockpicker.vue文件 (ComponentService.plugin.js:249)
[14:24:07.49] [ComponentService] <INFO> 正在注册： vx-form-daterangepicker.vue文件 (ComponentService.plugin.js:249)
[14:24:07.50] [ComponentService] <INFO> 正在注册： vx-form-datesinglepicker.vue文件 (ComponentService.plugin.js:249)
[14:24:07.51] [ComponentService] <INFO> 正在注册： vx-form-group-select.vue文件 (ComponentService.plugin.js:249)
[14:24:07.52] [ComponentService] <INFO> 正在注册： vx-form-input.vue文件 (ComponentService.plugin.js:249)
[14:24:07.53] [ComponentService] <INFO> 正在注册： vx-form-location.vue文件 (ComponentService.plugin.js:249)
[14:24:07.54] [ComponentService] <INFO> 正在注册： vx-form-number.vue文件 (ComponentService.plugin.js:249)
[14:24:07.54] [ComponentService] <INFO> 正在注册： vx-form-password.vue文件 (ComponentService.plugin.js:249)
[14:24:07.55] [ComponentService] <INFO> 正在注册： vx-form-radio.vue文件 (ComponentService.plugin.js:249)
[14:24:07.55] [ComponentService] <INFO> 正在注册： vx-form-select.vue文件 (ComponentService.plugin.js:249)
[14:24:07.56] [ComponentService] <INFO> 正在注册： vx-form-transfer.vue文件 (ComponentService.plugin.js:249)
[14:24:07.57] [ComponentService] <INFO> 正在注册： vx-nav-breadcrumb.vue文件 (ComponentService.plugin.js:249)
[14:24:07.57] [ComponentService] <INFO> 正在注册： vx-nav-dropmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:07.58] [ComponentService] <INFO> 正在注册： vx-nav-navmenu.vue文件 (ComponentService.plugin.js:249)
[14:24:07.59] [ComponentService] <INFO> 正在注册： vx-tab-pane.vue文件 (ComponentService.plugin.js:249)
[14:24:07.59] [ComponentService] <INFO> 正在注册： vx-tabs.vue文件 (ComponentService.plugin.js:249)
[14:24:07.60] [ComponentService] <INFO> 正在注册： vx-view-baidumap.vue文件 (ComponentService.plugin.js:249)
[14:24:07.63] [ComponentService] <INFO> 正在注册： vx-view-datatable.vue文件 (ComponentService.plugin.js:249)
[14:24:07.61] [ComponentService] <INFO> 正在注册： vx-view-countup.vue文件 (ComponentService.plugin.js:249)
[14:24:07.64] [ComponentService] <INFO> 正在注册： vx-view-dialog.vue文件 (ComponentService.plugin.js:249)
[14:24:07.65] [ComponentService] <INFO> 正在注册： vx-view-echart.vue文件 (ComponentService.plugin.js:249)
[14:24:07.65] [ComponentService] <INFO> 正在注册： vx-view-govmap.vue文件 (ComponentService.plugin.js:249)
[14:24:07.66] [ComponentService] <INFO> 正在注册： vx-view-heatmap.vue文件 (ComponentService.plugin.js:249)
[14:24:07.67] [ComponentService] <INFO> 正在注册： vx-view-linescroll.vue文件 (ComponentService.plugin.js:249)
[14:24:07.67] [ComponentService] <INFO> 正在注册： vx-view-map.vue文件 (ComponentService.plugin.js:249)
[14:24:07.68] [ComponentService] <INFO> 正在注册： vx-view-pagelist.vue文件 (ComponentService.plugin.js:249)
[14:24:07.69] [ComponentService] <INFO> 正在注册： vx-view-pagesize.vue文件 (ComponentService.plugin.js:249)
[14:24:07.69] [ComponentService] <INFO> 正在注册： vd-bd-componentslist.vue文件 (ComponentService.plugin.js:249)
[14:24:07.70] [ComponentService] <INFO> 正在注册： vd-bd-datadetail.vue文件 (ComponentService.plugin.js:249)
[14:24:07.71] [ComponentService] <INFO> 正在注册： vd-bd-grid.vue文件 (ComponentService.plugin.js:249)
[14:24:07.70] [ComponentService] <INFO> 正在注册： vd-bd-fencezone.vue文件 (ComponentService.plugin.js:249)
[14:24:07.72] [ComponentService] <INFO> 正在注册： vd-bd-login.vue文件 (ComponentService.plugin.js:249)
[14:24:07.72] [ComponentService] <INFO> 正在注册： vd-bd-savedata.vue文件 (ComponentService.plugin.js:249)
